Country,Population 2013-2014,Population 2015-2016,Population 2017-2018,Population 2019-2020,Population 2021-2022
Belgium,11159407.0,11274195.5,11375158.0,11488979.5,11586195.0
Bulgaria,7265114.5,7177991.0,7075946.5,6975760.5,6877742.5
Czechia,10514272.0,10546059.0,10594437.5,10671869.5,10505771.5
Denmark,5614931.5,5683483.0,5764979.5,5814422.0,5856732.5
Germany,80645604.5,81686610.5,82657002.0,83092962.0,83196077.5
Estonia,1317996.5,1315407.0,1317384.0,1326898.0,1330932.0
Ireland,4623815.5,4701956.5,4807387.5,4934340.0,5033164.0
Greece,10965211.0,10820883.0,10754679.0,10721582.0,10569207.0
Spain,46620044.5,46444832.0,46593235.5,47134837.0,47415794.0
France,65883165.0,66548272.0,66918020.0,67248926.0,67764303.5
Croatia,4254474.5,4207992.5,4129853.0,4067205.5,3949330.0
Italy,60233947.5,60730581.5,60536709.0,59729080.5,59133173.0
Cyprus,861939.0,847663.5,859519.0,881952.0,900356.0
Latvia,2012646.5,1977526.5,1942247.5,1913821.5,1884490.0
Lithuania,2957688.5,2904910.0,2828402.5,2794137.0,2800839.0
Luxembourg,543359.5,569603.5,596336.0,620001.0,640063.5
Hungary,9893081.5,9843028.0,9787966.0,9771141.0,9709891.0
Malta,425966.5,445053.0,467999.0,504061.5,518535.5
Netherlands,16804432.0,16939923.0,17131295.5,17344874.0,17533043.5
Austria,8479823.0,8642698.5,8797566.0,8879919.5,8955796.5
Poland,38040195.5,37986411.5,37974825.5,37965475.0,37747124.0
Portugal,10457295.0,10358076.0,10300300.0,10286263.0,10325147.0
Romania,19983692.5,19815616.0,19588715.0,19371648.0,19122058.5
Slovenia,2059953.0,2063531.0,2066387.5,2088384.5,2108078.5
Slovakia,5413392.5,5423800.5,5439231.5,5454147.0,5447246.5
Finland,5438972.0,5479530.5,5508213.5,5521605.5,5541017.0
Sweden,9600378.5,9799186.0,10057697.5,10278887.0,10415810.5
Iceland,323764.0,330814.5,343399.5,360562.5,372520.0
Liechtenstein,36983.5,37494.0,37962.0,38562.5,39181.5
Norway,5079622.5,5188607.0,5276968.0,5347896.0,5408319.5
Switzerland,8089345.5,8282396.0,8451840.0,8575280.0,8704545.5
United Kingdom,64128272.5,65116218.5,66058859.0,66836327.0,65534919.25
Montenegro,621207.0,622158.5,622373.0,622027.5,619211.0
Moldova,3558565.5,3459604.4,3457450.9,3364049.8,2980578.4
North Macedonia,2064031.5,2070225.0,2074501.5,2076693.5,1952961.0
Albania,2895082.0,2880694.0,2873457.5,2854191.0,2811666.5
Serbia,7164132.0,7095382.5,7020858.0,6945234.5,6834326.0
Turkiye,76147624.0,78218478.5,80312698.0,82579439.5,84147317.5
Ukraine,45309293.0,42675270.0,42315835.5,41858171.5,41208207.5
Kosovo (under United Nations Security Council Resolution 1244/99),1786225.5714285714,1778914.7857142857,1791018.5,1788890.5,1786078.5
Georgia,4147791.9444444445,3724950.0,3723916.5,3720161.0,3708610.0
Andorra,76228.75,76211.5,76211.5,76194.25,76211.5
Belarus,9465997.0,9489616.0,9498263.5,9479224.642857142,9483275.285714285
San Marino,33784.75,34007.5,34230.25,34007.5,34007.5
Azerbaijan,9416801.0,9649340.5,9854033.0,10024282.5,10137749.5
